method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,46.73656470858266,7.184141177145669,160.09999999999997,0.0,0.0,0.8223333333333332,0.9258220360309071,0.4895833333333333,0.6401014689187388,1.904245106034739,4.258021502914971,7.184141177145655,0.0
B5_FULL,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,48.79696117915402,5.123744706574316,221.3,0.0,0.0,0.8253333333333334,0.938017968463513,0.4895833333333333,0.6430997345468336,1.904245106034739,4.258021502914971,5.123744706574302,0.0
B5_NO_ROOT_CAUSE,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.8283333333333334,0.9499990955735962,0.4895833333333333,0.6460877852908359,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_NO_SHIELD,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,48.79696117915402,5.123744706574316,221.3,0.0,0.0,0.8253333333333334,0.938017968463513,0.4895833333333333,0.6430997345468336,1.904245106034739,4.258021502914971,5.123744706574302,0.0
B5_NO_TRUST,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,46.73656470858266,7.184141177145669,160.09999999999997,0.0,0.0,0.8223333333333332,0.9258220360309071,0.4895833333333333,0.6401014689187388,1.904245106034739,4.258021502914971,7.184141177145655,0.0
B5_NO_WORLD_MODEL,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,67.55999999999999,0.0,1.0,0.8283333333333334,0.9499990955735962,0.4895833333333333,0.6460877852908359,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_PROPOSED,MV101_STUCK_OPEN_P102_UNAVAILABLE,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,48.79696117915402,5.123744706574316,221.3,0.0,0.0,0.8253333333333334,0.938017968463513,0.4895833333333333,0.6430997345468336,1.904245106034739,4.258021502914971,5.123744706574302,0.0
B1_FULL_SHUTDOWN,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,11.233480392860066,42.687225492868265,238.5,0.0,1.0,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,42.68722549286825,0.0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,11.233480392860066,42.687225492868265,96.0,0.0,1.0,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,42.68722549286825,0.0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,13.583480392860068,40.337225492868264,98.62000000000002,0.0,1.0,0.9963333333333333,0.9978947368421054,0.9791666666666666,0.9884375861118766,1.904245106034739,4.258021502914971,40.33722549286825,0.0
