method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B5_NO_TRUST,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,51.544274120870554,2.3764317648577573,72.12,0.0,0.0,0.9883333333333333,0.9499990955735962,0.9791666666666666,0.9642344330650134,1.904245106034739,4.258021502914971,2.3764317648577573,0.0
B5_NO_WORLD_MODEL,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,13.659912157717844,40.260793728010476,66.68,0.0,0.0,0.9926666666666666,0.9545287187039765,0.9604166666666666,0.9574475188291224,1.904245106034739,4.258021502914971,40.260793728010476,0.0
B5_PROPOSED,MV101_STUCK_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7218170812627,0.0,0.0,15.12991215771784,38.79079372801048,149.4,0.0,0.0,0.8863333333333333,0.30123610049307054,0.30625,0.3036955414899579,1.904245106034739,4.258021502914971,38.79079372801048,0.0
B1_FULL_SHUTDOWN,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,482.3333764903056,0.0,0.0,0.0,53.92070588572832,237.5,0.0,0.0,0.8393333333333335,0.0,0.0,,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.92320002245253,0.0,0.0,0.0,53.92070588572832,95.0,0.0,0.0,0.8886666666666667,0.3056056701030928,0.30625,0.30592616580310883,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.046527383705,0.0,0.0,0.0,53.92070588572832,72.62,0.0,0.0,0.8400000000000001,0.0,0.0,,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,13.557048628002295,40.36365725772602,128.52000000000004,0.0,0.0,0.9336666666666668,0.9284710373056528,0.6354166666666666,0.7542069393811186,1.904245106034739,4.258021502914971,40.36365725772602,0.0
B5_FULL,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7313291589097,0.0,0.0,1.4700000000000002,52.45070588572831,128.82000000000002,0.0,0.0,0.8883333333333333,0.3049613402061856,0.30625,0.30560233160621764,1.904245106034739,4.258021502914971,52.45070588572831,0.0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.92320002245253,0.0,0.0,0.0,53.92070588572832,95.0,0.0,0.0,0.8886666666666667,0.3056056701030928,0.30625,0.30592616580310883,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B5_NO_SHIELD,P101_FORCED_OFF,96.0,96.0,96.0,96.0,0.0,96.0,96.0,507.7313291589097,0.0,0.0,1.4700000000000002,52.45070588572831,128.82000000000002,0.0,0.0,0.8883333333333333,0.3049613402061856,0.30625,0.30560233160621764,1.904245106034739,4.258021502914971,52.45070588572831,0.0
